radius_m,perimeter_m,area_m,compactness_m,smoothness_m,concavity_m,concavity_points_m,symmetry_m,fractal_dimension_m,texture_m,radius_se,perimeter_se,area_se,compactness_se,smoothness_se,concavity_se,concavity_points_se,symmetry_se,fractal_dimension_se,texture_se,radius_w,perimeter_w,area_w,compactness_w,smoothness_w,concavity_w,concavity_points_w,symmetry_w,fractal_dimension_w,texture_w,id
8.974,55.844,327.8807,11.05,1.2689,501.8653,55.8165,444.637,-1.3969,1176.744,4.3151,28.0027,230.5436,3.5811,0.9066,369.2861,28.0567,892.4629,0.9567,746.2402,15.9682,138.0,923.0,29.1862,5.3612,1323.0,138.0,7663.0,-5.0,4444.4211,0
11.0614,75.675,309.925,21.7707,1.0443,371.5679,75.625,1413.2822,-1.3714,799.2044,22.4959,181.5869,503.4866,67.4817,0.7719,287.7856,181.6075,3660.3421,1.0416,785.0803,149.6095,1198.0,3244.0,442.418,3.9768,1050.0,1198.0,20277.0,-5.0,2573.1845,1
8.0019,51.7978,306.236,11.5652,1.4812,449.9073,51.7528,660.8562,-1.0656,736.6904,5.5039,38.7635,357.0988,5.1206,1.3359,526.3051,38.8223,1135.7441,0.7076,1096.3917,24.7558,194.0,1763.0,34.6043,10.4615,2332.0,194.0,5488.31,-3.7593,8638.6098,2
8.0532,54.9016,342.7705,11.9539,1.3407,509.5129,54.8361,909.2405,-1.3024,732.0401,6.1873,47.424,416.963,6.935,1.2344,627.2332,47.4985,1921.7016,1.1916,490.4565,21.4465,204.0,1435.0,40.4133,6.8566,2340.0,204.0,12438.3,-5.0,2032.2384,3
7.284,46.8658,217.2953,11.6184,1.3218,315.4813,46.8255,358.9703,-1.0894,1145.8618,3.7948,27.8331,182.4223,4.945,0.9799,270.4757,27.8993,607.9069,0.7501,1020.8732,19.053,159.0,878.0,32.4334,6.0224,1406.0,159.0,4132.07,-4.5,6672.36,6
6.9697,43.5294,189.1912,11.5117,1.1569,288.0376,43.5,296.3281,-1.0998,542.7589,3.8,28.0223,149.1208,9.194,0.8804,239.9495,28.0669,659.8242,0.693,668.9744,21.3512,169.0,750.0,80.2275,4.8135,1218.0,169.0,4452.57,-3.725,3489.6387,8
5.0721,32.2917,108.9861,11.6123,0.9787,148.205,32.2361,191.056,-0.7946,518.2479,3.4938,26.7012,122.0446,11.0915,0.7956,170.1111,26.7662,417.6161,0.511,600.8496,20.3906,162.0,592.0,98.6617,4.7601,775.0,162.0,2452.57,-2.9444,2211.5984,9
7.5063,47.0693,233.0792,11.2356,1.1494,339.2513,47.0495,321.8769,-1.2318,552.7384,3.8401,26.9213,188.9209,4.7443,0.7943,281.2156,26.9552,595.6318,0.8079,443.2826,20.2552,190.0,1062.0,50.9168,6.0017,1367.0,190.0,4777.72,-5.0,2595.745,10
7.314,48.7308,228.7308,12.1591,1.5923,295.7356,48.5769,477.8752,-1.2423,519.014,5.0456,39.4184,260.516,6.1733,1.2946,305.0074,39.604,993.4397,1.087,602.3193,24.415,197.0,1196.0,32.889,5.6457,1544.0,197.0,5388.34,-5.0,2377.4985,11
6.5364,39.6706,184.9412,10.3058,1.0037,290.0288,39.6471,183.1146,-1.0451,1167.6869,3.472,21.6916,166.12,2.9207,0.7288,277.6946,21.7335,276.778,0.5858,813.8813,14.4406,110.0,698.0,20.1324,4.1125,1211.0,110.0,1410.36,-3.3333,5494.828,12
7.3355,56.4661,288.9237,13.7139,1.3946,349.825,56.4237,829.8847,-0.8685,566.9448,6.8355,81.0945,662.1331,11.4751,1.4919,601.1508,81.1235,3277.4676,0.5879,515.0068,45.3341,603.0,5458.0,72.0989,9.9327,4213.0,603.0,34047.82,-3.2685,2521.2895,13
8.9831,59.9211,375.3158,11.8073,1.5247,556.107,59.7632,775.6942,-1.1792,479.0376,6.0073,43.3732,358.2603,6.8374,1.2502,554.7631,43.5868,1078.0824,0.9662,433.1452,19.4926,150.0,1125.0,36.898,5.1621,1932.0,150.0,4898.29,-4.5,1893.6994,14
7.0977,46.1194,243.7463,11.3056,1.0704,363.9208,46.1194,309.9167,-1.0316,257.2144,4.7999,33.5802,262.163,5.0365,0.6782,402.3157,33.5802,519.9654,0.7716,337.4534,17.6218,137.0,929.0,35.052,3.0798,1345.0,137.0,2401.45,-3.6667,1473.1714,15
9.6459,63.2879,395.6818,13.2591,1.6195,609.4097,63.2576,4134.1724,-1.3444,522.9974,5.7189,40.5271,348.2903,8.8519,1.2643,560.7606,40.5737,26875.3934,0.8785,405.9984,21.8121,190.0,1475.0,64.4643,6.5144,2411.0,190.0,220553.0,-3.7816,2291.3916,16
7.6056,47.4776,237.3731,10.7578,1.2318,350.2874,47.4478,276.9322,-1.2101,448.915,3.6437,27.9212,192.8525,3.7859,0.8963,260.6575,27.9708,495.779,0.6754,348.1432,16.382,159.0,1093.0,28.6,4.7631,1112.0,159.0,3651.96,-2.7917,1546.9413,17
7.0614,49.0169,152.1017,17.7042,0.9593,145.9277,49.0,328.0754,-0.7915,169.3398,16.4935,132.3929,366.1688,48.7419,0.778,155.4485,132.3991,771.6071,0.5193,325.6029,130.3762,1042.0,2822.0,384.7498,4.0719,849.0,1042.0,3971.0,-2.3316,1859.5472,18
6.2293,41.4067,183.34,11.1749,1.1127,255.7779,41.34,409.6081,-0.9227,597.0661,3.9228,38.135,264.784,6.1699,0.8559,317.6418,38.2049,1955.1283,0.6563,602.6483,23.3097,294.0,2155.0,47.049,6.2828,2330.0,294.0,19213.24,-4.5,3246.2271,20
8.5524,57.8305,315.0,13.1128,1.5239,453.4237,57.8305,987.7374,-1.2243,1007.2624,4.7996,37.6017,302.3245,6.6135,1.183,458.1056,37.6017,4368.9883,0.768,836.6628,20.0358,202.0,1423.0,56.0769,7.5883,2278.0,202.0,46469.0,-4.5,4130.6361,21
8.6203,51.9206,312.381,10.2875,0.9913,485.0159,51.8889,264.821,-1.41,1031.9398,4.3051,26.7661,235.7599,3.1836,0.6681,375.2641,26.8264,403.0974,0.9408,698.4668,15.8195,107.0,820.0,19.6381,3.629,1298.0,107.0,2505.0,-5.0,4223.0936,23
7.4707,48.9697,266.7121,11.6389,1.3175,397.1971,48.8939,384.6639,-1.1984,998.0661,5.0014,36.386,292.5003,6.1302,1.0181,445.3008,36.485,655.7534,0.998,975.0534,17.6248,157.0,1271.0,37.4513,4.5419,1598.0,157.0,3558.7,-5.0,5246.6107,24
